Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Price(euro),Age,km_year
Opel,Corsa,2006,Coupe,105000.0,1200.0,Petrol,3400.0,16,6562.5
Toyota,Auris,2011,Hatchback,160000.0,1800.0,Hybrid,8200.0,11,14545.454545454546
Volkswagen,Jetta,2013,Sedan,138000.0,2000.0,Metan/Propan,6990.0,9,15333.333333333334
Volkswagen,Golf,2004,Hatchback,209150.0,1390.0,Petrol,3700.0,18,11619.444444444443
Opel,Astra,1996,Universal,423000.0,1400.0,Metan/Propan,1100.0,26,16269.23076923077
Toyota,Rare,2012,Universal,189000.0,1999.0,Hybrid,9000.0,10,18900.0
Toyota,Land Cruiser Prado,2008,Crossover,198000.0,2700.0,Metan/Propan,15499.0,14,14142.857142857143
Honda,CR-V,2007,SUV,175000.0,2000.0,Metan/Propan,11000.0,15,11666.666666666666
Land Rover,Rare,2016,Crossover,115313.0,2000.0,Hybrid,14400.0,6,19218.83333333333
Toyota,Auris,2010,Hatchback,161456.0,1400.0,Diesel,6500.0,12,13454.666666666666
Audi,A6,2012,Sedan,214000.0,2800.0,Petrol,13800.0,10,21400.0
Renault,Laguna,2013,Universal,302000.0,1500.0,Diesel,5500.0,9,33555.555555555555
Mercedes,M Class,2006,SUV,170000.0,3000.0,Diesel,8200.0,16,10625.0
Volkswagen,Passat,2011,Universal,192000.0,1400.0,Metan/Propan,8200.0,11,17454.545454545456
Mercedes,Rare,2017,SUV,87000.0,3000.0,Petrol,38900.0,5,17400.0
Mercedes,S Class,2003,Sedan,248000.0,3200.0,Diesel,3200.0,19,13052.631578947368
BMW,5 Series,1998,Sedan,280000.0,2200.0,Metan/Propan,3750.0,24,11666.666666666666
Porsche,Cayenne,2016,SUV,155000.0,3000.0,Plug-in Hybrid,48000.0,6,25833.33333333333
Honda,Accord,1999,Sedan,250000.0,2000.0,Petrol,2650.0,23,10869.565217391304
Audi,Q5,2018,Crossover,95800.0,2000.0,Petrol,27500.0,4,23950.0
Renault,Megane,2011,Universal,199000.0,1500.0,Diesel,6499.0,11,18090.90909090909
Hyundai,Rare,2016,Hatchback,34000.0,1200.0,Petrol,8600.0,6,5666.666666666667
Chevrolet,Rare,2017,Crossover,34705.0,1796.0,Petrol,14350.0,5,6941.0
Peugeot,307,2006,Universal,184000.0,1400.0,Petrol,2200.0,16,11500.0
Peugeot,Rare,2013,Sedan,130000.0,1600.0,Petrol,8200.0,9,14444.444444444443
Ford,Focus,2016,Universal,168000.0,1500.0,Diesel,7650.0,6,28000.0
BMW,5 Series,2000,Sedan,300000.0,300.0,Diesel,1600.0,22,13636.363636363636
Opel,Corsa,2003,Hatchback,250000.0,1300.0,Diesel,1700.0,19,13157.894736842103
Volkswagen,Golf,2004,Hatchback,260000.0,1600.0,Petrol,3550.0,18,14444.444444444443
Renault,Kadjar,2015,Crossover,153000.0,1500.0,Diesel,12950.0,7,21857.14285714286
Volkswagen,Polo,2006,Hatchback,228000.0,1400.0,Diesel,4000.0,16,14250.0
Renault,Kadjar,2016,Universal,174000.0,1500.0,Diesel,12400.0,6,29000.0
Mazda,Rare,2004,Hatchback,260000.0,1400.0,Petrol,2950.0,18,14444.444444444443
Ford,Fusion,2018,Sedan,105133.0,2000.0,Hybrid,15900.0,4,26283.25
BMW,X5,2012,SUV,240698.0,3000.0,Diesel,8000.0,10,24069.8
KIA,Optima,2012,Sedan,75000.0,2400.0,Metan/Propan,8000.0,10,7500.0
Honda,Accord,2005,Sedan,302678.0,2200.0,Diesel,6799.0,17,17804.58823529412
Audi,A6,2015,Sedan,50583.0,2000.0,Petrol,20499.0,7,7226.142857142857
Nissan,Qashqai+2,2011,Crossover,220000.0,1995.0,Diesel,8500.0,11,20000.0
Land Rover,Rare,2011,Crossover,216887.0,2200.0,Diesel,19999.0,11,19717.0
Honda,Rare,2007,Hatchback,206000.0,1246.0,Petrol,3700.0,15,13733.333333333334
Toyota,Camry,2015,Sedan,106000.0,2494.0,Hybrid,14700.0,7,15142.857142857143
Renault,Megane,2006,Universal,270000.0,1500.0,Diesel,3800.0,16,16875.0
Skoda,Rare,2011,SUV,210000.0,1200.0,Petrol,7500.0,11,19090.90909090909
BMW,5 Series,1996,Sedan,283000.0,2800.0,Metan/Propan,3550.0,26,10884.615384615385
Volkswagen,Caddy,2003,Minivan,270000.0,1900.0,Diesel,2250.0,19,14210.526315789471
Mitsubishi,Rare,1992,Sedan,200000.0,3000.0,Metan/Propan,850.0,30,6666.666666666667
Mercedes,E Class,2003,Sedan,364000.0,3222.0,Diesel,5500.0,19,19157.894736842107
